tax_office,filer_channel,income_class,tax_year,wages_usd,deduction_type,business_usd,capgains_usd,filing_status,return_pages,state_rate,complexity,filing_timing,digital_review,paid_preparer,tax_due,compliance_stars,Number of Notices,Number of Workpapers,dependents,deduction_usd,credits_usd,state_resident
River Desk,Online,Wages,2023 TY,"$72,990",Itemized,"$2,380","$3,970",Single,2-page,3.00%,Simple,No filing yet,Yes,No,5374.93,4 stars,7,8,2 dependents,"$25,310","$3,200",Yes
Harbor Desk,Online,Wages,2023 TY,"$48,640",Standard,"$1,590","$2,640",Married Separate,16-page,3.00%,Audit-ready,On time,Yes,Yes,4987.05,4 stars,11,10,0 dependents,"$13,850",$0,Yes
Central Desk,Walk-in,Mixed,2022 TY,"$38,220",Standard,"$17,370","$13,900",Married Joint,2-page,5.50%,Simple,On time,Yes,No,3517.0,5 stars,5,7,2 dependents,"$27,700","$3,200",Yes
Central Desk,Online,Pension,2021 TY,"$49,110",Standard,$0,"$8,670",Qualifying Widow,2-page,6.20%,Simple,On time,Yes,No,6097.33,5 stars,10,6,0 dependents,"$27,700",$0,Yes
North Desk,Preparer,Self-employed,2022 TY,"$1,850",Standard,"$9,880",$620,Head of Household,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,2,1,0 dependents,"$20,800",$0,Yes
North Desk,Preparer,Mixed,2021 TY,"$69,250",Standard,"$31,480","$25,180",Single,8-page,4.75%,Schedule-heavy,No filing yet,No,No,21258.25,3 stars,6,18,2 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Mixed,2023 TY,"$45,910",Standard,"$20,870","$16,690",Married Separate,2-page,0.00%,Simple,On time,Yes,No,6510.35,5 stars,5,9,1 dependent,"$13,850","$1,600",No
North Desk,Preparer,Mixed,2022 TY,"$64,040",Standard,"$29,110","$23,290",Single,8-page,4.75%,Schedule-heavy,On time,No,No,19746.85,4 stars,6,17,0 dependents,"$13,850",$0,Yes
Harbor Desk,Preparer,Wages,Not Available,"$33,290",Standard,"$1,090","$1,810",Married Joint,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,2,4,3 dependents,"$27,700","$4,800",Yes
Capitol Desk,Preparer,Pension,2023 TY,"$28,240",Itemized,$0,"$4,980",Married Joint,2-page,3.00%,Simple,On time,Yes,No,0.0,5 stars,3,3,0 dependents,"$51,760",$0,Yes
Capitol Desk,Online,Wages,2022 TY,"$31,390",Standard,"$1,020","$1,710",Head of Household,8-page,6.20%,Schedule-heavy,On time,No,No,1512.75,4 stars,7,8,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Self-employed,2023 TY,"$12,000",Standard,"$64,010","$4,000",Single,2-page,7.00%,Simple,On time,No,No,13418.55,4 stars,3,8,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Investment,2022 TY,"$20,290",Standard,"$10,140","$71,000",Single,2-page,0.00%,Simple,On time,Yes,No,5721.77,5 stars,9,11,1 dependent,"$13,850","$1,600",No
Prairie Desk,Online,Mixed,2023 TY,"$35,240",Standard,"$16,020","$12,810",Married Joint,2-page,6.20%,Simple,3-year amend,Yes,No,2064.63,4 stars,5,7,2 dependents,"$27,700","$3,200",Yes
River Desk,Preparer,Pension,2020 TY,"$27,010",Standard,$0,"$4,770",Married Joint,2-page,5.50%,Simple,On time,Yes,No,205.7,5 stars,11,3,0 dependents,"$27,700",$0,Yes
North Desk,Online,Wages,Not Available,"$29,070",Standard,$950,"$1,580",Married Joint,2-page,3.00%,Simple,On time,Yes,Yes,0.0,5 stars,2,3,3 dependents,"$27,700","$4,800",Yes
North Desk,Preparer,Pension,2023 TY,"$40,140",Standard,$0,"$7,080",Single,2-page,5.50%,Simple,2-year amend,Yes,No,3470.43,4 stars,14,5,1 dependent,"$13,850","$1,600",Yes
River Desk,Online,Self-employed,2023 TY,"$8,140",Standard,"$43,390","$2,710",Single,2-page,0.00%,Simple,3-year amend,Yes,No,0.0,4 stars,8,6,3 dependents,"$13,850","$4,800",No
Harbor Desk,Preparer,Investment,2022 TY,"$12,470",Standard,"$6,230","$43,640",Head of Household,2-page,0.00%,Simple,On time,Yes,No,0.0,5 stars,1,6,2 dependents,"$20,800","$3,200",No
Highland Desk,Online,Self-employed,2023 TY,"$19,000",Standard,"$101,360","$6,330",Single,2-page,7.00%,Simple,2-year amend,Yes,No,20760.64,4 stars,12,14,3 dependents,"$13,850","$4,800",Yes
Delta Desk,Online,Pension,2021 TY,"$39,680",Standard,$0,"$7,000",Married Joint,2-page,5.50%,Simple,On time,Yes,No,128.56,5 stars,2,5,1 dependent,"$27,700","$1,600",Yes
North Desk,Online,Royalty,2023 TY,"$13,530",Standard,"$27,070","$94,740",Head of Household,2-page,3.00%,Simple,No filing yet,Yes,No,13945.99,4 stars,6,15,0 dependents,"$20,800",$0,Yes
North Desk,Preparer,Mixed,2020 TY,"$34,100",Standard,"$15,500","$12,400",Single,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,5493.34,5 stars,6,11,1 dependent,"$13,850","$1,600",Yes
Delta Desk,Online,Investment,2021 TY,"$22,150",Standard,"$11,070","$77,510",Married Separate,8-page,7.00%,Schedule-heavy,On time,No,No,13639.24,4 stars,9,17,1 dependent,"$13,850",$0,Yes
River Desk,Preparer,Investment,2022 TY,"$19,020",Standard,"$9,510","$66,580",Single,2-page,4.75%,Simple,On time,Yes,No,8387.0,5 stars,3,10,1 dependent,"$13,850","$1,600",Yes
North Desk,Preparer,Mixed,2021 TY,"$14,890",Standard,"$6,770","$5,410",Head of Household,2-page,7.00%,Simple,No filing yet,No,Yes,0.0,3 stars,10,3,2 dependents,"$20,800","$3,200",Yes
Prairie Desk,Walk-in,Contract,2022 TY,"$37,450",Standard,"$64,200","$5,350",Married Separate,2-page,6.20%,Simple,On time,Yes,No,20618.22,5 stars,0,11,0 dependents,"$13,850",$0,Yes
Prairie Desk,Preparer,Wages,2023 TY,"$54,060",Standard,"$1,760","$2,940",Head of Household,2-page,4.75%,Simple,On time,Yes,No,1214.31,5 stars,2,6,2 dependents,"$20,800","$3,200",Yes
Highland Desk,Preparer,Mixed,2021 TY,"$55,220",Standard,"$25,100","$20,080",Single,2-page,5.50%,Simple,On time,Yes,No,17021.91,5 stars,9,11,0 dependents,"$13,850",$0,Yes
River Desk,Preparer,Wages,2023 TY,"$40,440",Standard,"$1,320","$2,200",Married Joint,8-page,5.50%,Schedule-heavy,On time,No,No,0.0,4 stars,0,9,3 dependents,"$27,700","$4,800",Yes
Harbor Desk,Online,Wages,2019 TY,"$53,400",Standard,"$1,740","$2,900",Married Separate,8-page,6.20%,Schedule-heavy,2-year amend,No,Yes,8636.28,3 stars,4,11,0 dependents,"$13,850",$0,Yes
North Desk,Preparer,Pension,2023 TY,"$29,010",Standard,$0,"$5,120",Single,2-page,4.75%,Simple,On time,Yes,No,2157.6,5 stars,6,3,0 dependents,"$13,850",$0,Yes
River Desk,Online,Wages,2023 TY,"$84,330",Standard,"$2,750","$4,580",Single,16-page,0.00%,Audit-ready,On time,Yes,No,8360.02,4 stars,0,15,2 dependents,"$13,850","$3,200",No
Harbor Desk,Preparer,Wages,2022 TY,"$63,920",Standard,"$2,080","$3,470",Single,2-page,0.00%,Simple,On time,Yes,No,7799.27,5 stars,11,7,2 dependents,"$13,850",$0,No
River Desk,Online,Wages,2023 TY,"$65,140",Itemized,"$2,120","$3,540",Head of Household,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,3611.5,5 stars,6,12,2 dependents,"$26,210","$3,200",Yes
Prairie Desk,Online,Mixed,2023 TY,"$65,310",Standard,"$29,690","$23,750",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,No,17128.47,5 stars,4,18,3 dependents,"$27,700",$0,Yes
North Desk,Preparer,Investment,2023 TY,"$31,630",Itemized,"$15,810","$110,690",Married Joint,2-page,6.20%,Simple,On time,Yes,Yes,11165.23,5 stars,11,17,0 dependents,"$58,190",$0,Yes
River Desk,Online,Contract,2022 TY,"$30,950",Standard,"$53,060","$4,420",Married Separate,2-page,5.50%,Simple,On time,No,Yes,12303.45,4 stars,6,9,2 dependents,"$13,850","$3,200",Yes
Harbor Desk,Online,Wages,2022 TY,"$25,650",Standard,$840,"$1,390",Married Joint,2-page,0.00%,Simple,On time,Yes,No,527.69,5 stars,8,3,0 dependents,"$27,700",$0,No
Prairie Desk,Online,Mixed,2023 TY,"$31,420",Standard,"$14,280","$11,430",Married Joint,16-page,0.00%,Audit-ready,On time,Yes,No,1238.17,4 stars,1,11,1 dependent,"$27,700","$1,600",No
Harbor Desk,Preparer,Mixed,2021 TY,"$26,340",Standard,"$11,970","$9,580",Married Joint,2-page,6.20%,Simple,No filing yet,No,No,1125.33,3 stars,6,5,1 dependent,"$27,700","$1,600",Yes
River Desk,Online,Self-employed,2023 TY,"$14,580",Standard,"$77,750","$4,860",Married Joint,8-page,5.50%,Schedule-heavy,On time,Yes,Yes,13108.19,5 stars,0,15,0 dependents,"$27,700",$200,Yes
Highland Desk,Online,Mixed,2021 TY,"$45,720",Itemized,"$20,780","$16,620",Single,2-page,6.20%,Simple,On time,Yes,No,8434.79,5 stars,6,9,1 dependent,"$19,400","$1,600",Yes
Central Desk,Walk-in,Wages,2023 TY,"$26,340",Standard,$860,"$1,430",Head of Household,2-page,0.00%,Simple,2-year amend,Yes,No,0.0,4 stars,10,3,2 dependents,"$20,800","$3,200",No
River Desk,Walk-in,Mixed,2020 TY,"$39,790",Standard,"$18,080","$14,470",Head of Household,2-page,4.75%,Simple,On time,No,No,6819.62,4 stars,10,8,0 dependents,"$20,800",$0,Yes
Capitol Desk,Online,Mixed,2019 TY,"$18,250",Standard,"$8,290","$6,640",Single,2-page,7.00%,Simple,On time,Yes,No,1441.04,5 stars,6,3,3 dependents,"$13,850",$800,Yes
Highland Desk,Online,Mixed,Not Available,"$42,020",Itemized,"$19,100","$15,280",Married Joint,2-page,0.00%,Simple,2-year amend,Yes,No,957.02,4 stars,5,8,1 dependent,"$61,030",$0,No
Capitol Desk,Online,Mixed,2023 TY,"$15,590",Standard,"$7,080","$5,670",Single,16-page,0.00%,Audit-ready,On time,Yes,Yes,1677.37,4 stars,7,8,0 dependents,"$13,850",$0,No
Delta Desk,Walk-in,Investment,2023 TY,"$25,100",Standard,"$12,550","$87,850",Qualifying Widow,2-page,5.50%,Simple,3-year amend,Yes,Yes,10422.65,4 stars,11,13,1 dependent,"$27,700","$1,600",Yes
Central Desk,Online,Investment,Not Available,"$23,530",Itemized,"$11,770","$82,360",Head of Household,16-page,5.50%,Audit-ready,On time,Yes,No,6718.77,4 stars,7,18,0 dependents,"$43,560",$0,Yes
Highland Desk,Online,Wages,2022 TY,"$99,170",Standard,"$3,230","$5,390",Head of Household,16-page,7.00%,Audit-ready,On time,No,No,20081.2,3 stars,8,16,0 dependents,"$20,800",$0,Yes
North Desk,Online,Investment,2021 TY,"$28,420",Standard,"$14,210","$99,460",Single,2-page,7.00%,Simple,On time,Yes,No,20036.48,5 stars,6,15,1 dependent,"$13,850",$0,Yes
Capitol Desk,Preparer,Pension,2020 TY,"$35,050",Standard,$0,"$6,190",Single,2-page,6.20%,Simple,On time,Yes,No,3348.35,5 stars,8,4,0 dependents,"$13,850",$0,Yes
Highland Desk,Online,Wages,2022 TY,"$75,100",Standard,"$2,450","$4,080",Single,2-page,0.00%,Simple,3-year amend,Yes,No,11341.8,4 stars,6,9,0 dependents,"$13,850",$0,No
Central Desk,Preparer,Mixed,2021 TY,"$19,840",Standard,"$9,020","$7,210",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,0.0,5 stars,1,9,2 dependents,"$13,850","$3,200",Yes
North Desk,Online,Wages,Not Available,"$35,790",Itemized,"$1,170","$1,950",Single,16-page,6.20%,Audit-ready,3-year amend,Yes,No,926.69,3 stars,2,9,0 dependents,"$23,010",$800,Yes
Prairie Desk,Preparer,Self-employed,2019 TY,"$12,450",Standard,"$66,390","$4,150",Single,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,12074.24,5 stars,10,14,2 dependents,"$13,850",$0,Yes
Central Desk,Preparer,Wages,2020 TY,"$11,040",Standard,$360,$600,Qualifying Widow,16-page,7.00%,Audit-ready,2-year amend,No,No,0.0,2 stars,7,6,2 dependents,"$27,700","$3,200",Yes
River Desk,Online,Self-employed,2021 TY,"$10,450",Itemized,"$55,730","$3,480",Single,2-page,5.50%,Simple,3-year amend,Yes,No,5718.05,4 stars,7,7,0 dependents,"$27,080",$0,Yes
North Desk,Online,Wages,2020 TY,"$34,510",Standard,"$1,130","$1,880",Single,2-page,0.00%,Simple,On time,Yes,Yes,1263.34,5 stars,3,4,1 dependent,"$13,850","$1,600",No
Delta Desk,Online,Mixed,2021 TY,"$44,570",Itemized,"$20,260","$16,210",Head of Household,2-page,4.75%,Simple,3-year amend,Yes,Yes,5823.03,4 stars,5,9,0 dependents,"$31,280",$800,Yes
Harbor Desk,Preparer,Contract,2023 TY,"$12,890",Itemized,"$22,090","$1,840",Married Joint,8-page,5.50%,Schedule-heavy,No filing yet,No,No,458.12,3 stars,11,9,1 dependent,"$42,010",$0,Yes
Harbor Desk,Online,Wages,2021 TY,"$66,410",Standard,"$2,170","$3,610",Married Separate,2-page,0.00%,Simple,On time,No,No,7671.39,4 stars,0,8,0 dependents,"$13,850",$0,No
Prairie Desk,Preparer,Pension,2022 TY,"$41,060",Standard,$0,"$7,250",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,0.0,5 stars,2,5,3 dependents,"$27,700","$4,800",Yes
Prairie Desk,Online,Royalty,2023 TY,"$14,080",Itemized,"$28,160","$98,570",Head of Household,2-page,5.50%,Simple,On time,Yes,Yes,13034.29,5 stars,5,15,0 dependents,"$36,620",$0,Yes
Harbor Desk,Preparer,Pension,2022 TY,"$40,890",Standard,$0,"$7,220",Married Joint,2-page,0.00%,Simple,On time,Yes,Yes,0.0,5 stars,4,5,1 dependent,"$27,700","$1,600",No
Central Desk,Preparer,Wages,2023 TY,"$40,070",Standard,"$1,310","$2,180",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,2345.22,5 stars,0,4,0 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Investment,2021 TY,"$17,030",Standard,"$8,520","$59,610",Married Joint,2-page,5.50%,Simple,On time,Yes,No,5555.23,5 stars,3,9,0 dependents,"$27,700",$0,Yes
Prairie Desk,Online,Wages,2020 TY,"$27,360",Itemized,$890,"$1,490",Married Joint,8-page,6.20%,Schedule-heavy,On time,Yes,No,0.0,5 stars,9,8,1 dependent,"$60,610","$1,800",Yes
Central Desk,Preparer,Wages,2021 TY,"$66,010",Standard,"$2,150","$3,590",Single,8-page,4.75%,Schedule-heavy,On time,No,No,8865.76,4 stars,3,12,1 dependent,"$13,850","$1,600",Yes
Highland Desk,Online,Pension,Not Available,"$48,820",Standard,$0,"$8,620",Married Joint,2-page,7.00%,Simple,On time,Yes,Yes,0.0,5 stars,10,6,4 dependents,"$27,700","$6,400",Yes
Capitol Desk,Preparer,Self-employed,2023 TY,"$23,980",Itemized,"$127,910","$7,990",Single,8-page,7.00%,Schedule-heavy,On time,Yes,No,36168.05,5 stars,4,22,0 dependents,"$15,300",$0,Yes
Capitol Desk,Walk-in,Mixed,2021 TY,"$32,640",Itemized,"$14,840","$11,870",Married Separate,2-page,4.75%,Simple,2-year amend,Yes,Yes,6132.38,4 stars,0,6,0 dependents,"$15,130",$0,Yes
Capitol Desk,Online,Wages,2022 TY,"$51,130",Itemized,"$1,670","$2,780",Single,8-page,0.00%,Schedule-heavy,3-year amend,Yes,No,4163.26,4 stars,4,11,0 dependents,"$20,800",$0,No
Highland Desk,Online,Investment,2023 TY,"$13,610",Standard,"$6,810","$47,640",Single,2-page,6.20%,Simple,2-year amend,Yes,No,5792.06,4 stars,9,7,0 dependents,"$13,850",$0,Yes
North Desk,Online,Self-employed,2023 TY,"$11,800",Itemized,"$62,910","$3,930",Single,2-page,3.00%,Simple,On time,No,No,1759.27,4 stars,4,8,3 dependents,"$27,980","$4,800",Yes
Prairie Desk,Online,Mixed,2022 TY,"$49,200",Standard,"$22,360","$17,890",Head of Household,2-page,6.20%,Simple,On time,Yes,No,10982.86,5 stars,11,9,3 dependents,"$20,800",$0,Yes
Prairie Desk,Walk-in,Contract,2023 TY,"$22,930",Standard,"$39,300","$3,280",Single,2-page,5.50%,Simple,2-year amend,Yes,Yes,7516.27,4 stars,11,7,3 dependents,"$13,850",$0,Yes
Capitol Desk,Walk-in,Wages,2023 TY,"$81,030",Itemized,"$2,640","$4,400",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,7688.33,5 stars,0,9,0 dependents,"$42,740",$0,Yes
North Desk,Online,Wages,2023 TY,"$43,420",Standard,"$1,420","$2,360",Head of Household,8-page,5.50%,Schedule-heavy,On time,No,No,2893.77,4 stars,3,10,0 dependents,"$20,800",$0,Yes
Harbor Desk,Walk-in,Self-employed,2020 TY,"$15,980",Itemized,"$85,200","$5,330",Single,8-page,4.75%,Schedule-heavy,On time,Yes,No,16086.06,5 stars,8,16,2 dependents,"$22,530",$0,Yes
Capitol Desk,Online,Farm,2020 TY,"$18,310",Itemized,"$51,260","$3,660",Married Separate,2-page,7.00%,Simple,On time,Yes,No,11560.99,5 stars,0,8,0 dependents,"$17,910",$0,Yes
North Desk,Walk-in,Wages,Not Available,"$56,770",Standard,"$1,850","$3,090",Single,2-page,3.00%,Simple,On time,Yes,Yes,7491.79,5 stars,11,6,1 dependent,"$13,850",$0,Yes
Delta Desk,Preparer,Wages,2022 TY,"$50,090",Standard,"$1,630","$2,720",Single,8-page,7.00%,Schedule-heavy,On time,Yes,No,8571.17,5 stars,1,11,0 dependents,"$13,850",$200,Yes
Central Desk,Online,Wages,2022 TY,"$110,620",Standard,"$3,610","$6,010",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,Yes,16026.09,4 stars,11,13,0 dependents,"$27,700",$0,No
Capitol Desk,Preparer,Pension,2022 TY,"$29,690",Standard,$0,"$5,240",Head of Household,2-page,6.20%,Simple,On time,Yes,Yes,0.0,5 stars,10,3,2 dependents,"$20,800","$3,200",Yes
Prairie Desk,Preparer,Wages,2019 TY,"$63,620",Itemized,"$2,070","$3,460",Single,2-page,7.00%,Simple,On time,Yes,No,7532.1,5 stars,6,7,0 dependents,"$28,900",$0,Yes
Central Desk,Online,Mixed,2023 TY,"$30,520",Standard,"$13,870","$11,100",Married Joint,2-page,4.75%,Simple,On time,Yes,No,0.0,5 stars,9,6,3 dependents,"$27,700","$4,800",Yes
Central Desk,Online,Royalty,2021 TY,"$15,700",Itemized,"$31,400","$109,900",Single,2-page,0.00%,Simple,On time,No,No,15719.85,4 stars,10,17,0 dependents,"$22,320",$0,No
River Desk,Preparer,Wages,2023 TY,"$76,620",Standard,"$2,500","$4,160",Married Joint,2-page,6.20%,Simple,No filing yet,No,No,11463.17,3 stars,13,9,0 dependents,"$27,700",$0,Yes
River Desk,Online,Mixed,2022 TY,"$31,710",Standard,"$14,410","$11,530",Married Joint,2-page,6.20%,Simple,On time,No,Yes,4219.26,4 stars,8,6,0 dependents,"$27,700",$400,Yes
Central Desk,Online,Mixed,2021 TY,"$51,360",Standard,"$23,340","$18,680",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,11468.03,5 stars,4,15,0 dependents,"$27,700",$0,Yes
River Desk,Online,Investment,2019 TY,"$22,280",Standard,"$11,140","$77,980",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,7803.84,5 stars,3,17,1 dependent,"$27,700",$400,Yes
Delta Desk,Preparer,Wages,2023 TY,"$45,630",Standard,"$1,490","$2,480",Single,8-page,6.20%,Schedule-heavy,No filing yet,Yes,No,6136.1,4 stars,10,10,0 dependents,"$13,850",$0,Yes
Central Desk,Online,Wages,2020 TY,"$73,780",Standard,"$2,410","$4,010",Married Joint,2-page,3.00%,Simple,3-year amend,Yes,Yes,6071.59,4 stars,3,8,1 dependent,"$27,700","$1,600",Yes
Harbor Desk,Online,Wages,2019 TY,"$65,640",Itemized,"$2,140","$3,570",Married Joint,16-page,5.50%,Audit-ready,On time,Yes,Yes,648.99,4 stars,4,12,2 dependents,"$40,290","$3,200",Yes
Central Desk,Online,Investment,2023 TY,"$21,840",Itemized,"$10,920","$76,450",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,No,4390.6,5 stars,6,17,0 dependents,"$46,190",$0,Yes
Central Desk,Online,Investment,2021 TY,"$19,160",Itemized,"$9,580","$67,070",Single,2-page,0.00%,Simple,2-year amend,No,No,6191.52,3 stars,5,10,0 dependents,"$19,950",$0,No
North Desk,Preparer,Wages,2022 TY,"$66,560",Standard,"$2,170","$3,620",Married Joint,2-page,6.20%,Simple,On time,No,No,7260.0,4 stars,4,8,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Wages,2021 TY,"$62,100",Standard,"$2,030","$3,380",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,2773.17,5 stars,7,12,2 dependents,"$27,700","$3,200",Yes
River Desk,Preparer,Contract,2023 TY,"$24,030",Itemized,"$41,190","$3,430",Single,2-page,7.00%,Simple,On time,Yes,No,9595.34,5 stars,3,7,1 dependent,"$17,210",$0,Yes
Central Desk,Online,Wages,2021 TY,"$42,890",Standard,"$1,400","$2,330",Single,8-page,5.50%,Schedule-heavy,On time,Yes,No,5724.37,5 stars,11,10,0 dependents,"$13,850",$0,Yes
Delta Desk,Preparer,Wages,2021 TY,"$94,440",Standard,"$3,080","$5,130",Married Joint,8-page,4.75%,Schedule-heavy,On time,Yes,Yes,14159.11,5 stars,2,16,1 dependent,"$27,700",$0,Yes
Harbor Desk,Online,Mixed,2021 TY,"$25,570",Itemized,"$11,620","$9,300",Married Separate,16-page,4.75%,Audit-ready,On time,Yes,No,0.0,4 stars,4,10,1 dependent,"$30,320","$1,600",Yes
North Desk,Preparer,Wages,2021 TY,"$66,480",Standard,"$2,170","$3,610",Single,16-page,4.75%,Audit-ready,On time,Yes,Yes,10904.76,4 stars,10,13,0 dependents,"$13,850",$0,Yes
Capitol Desk,Online,Wages,2021 TY,"$49,970",Standard,"$1,630","$2,720",Head of Household,8-page,6.20%,Schedule-heavy,On time,Yes,No,5450.61,5 stars,5,11,0 dependents,"$20,800",$0,Yes
Prairie Desk,Walk-in,Mixed,2020 TY,"$71,930",Itemized,"$32,700","$26,160",Married Joint,16-page,5.50%,Audit-ready,On time,Yes,No,7545.67,4 stars,8,19,4 dependents,"$43,730","$6,400",Yes
Harbor Desk,Online,Wages,2020 TY,"$37,090",Standard,"$1,210","$2,020",Married Separate,16-page,6.20%,Audit-ready,On time,Yes,Yes,4615.46,4 stars,7,9,0 dependents,"$13,850",$0,Yes
Harbor Desk,Online,Mixed,2022 TY,"$30,770",Standard,"$13,990","$11,190",Married Joint,2-page,4.75%,Simple,No filing yet,No,No,3722.52,3 stars,8,6,0 dependents,"$27,700",$0,Yes
Harbor Desk,Preparer,Self-employed,2023 TY,"$5,410",Standard,"$28,870","$1,800",Married Joint,8-page,3.00%,Schedule-heavy,No filing yet,Yes,No,976.87,4 stars,12,9,0 dependents,"$27,700",$0,Yes
Highland Desk,Online,Mixed,2019 TY,"$48,240",Standard,"$21,930","$17,540",Married Joint,2-page,0.00%,Simple,On time,Yes,No,6130.48,5 stars,2,9,1 dependent,"$27,700",$0,No
Central Desk,Online,Wages,2021 TY,"$26,720",Standard,$870,"$1,450",Head of Household,2-page,6.20%,Simple,On time,Yes,No,0.0,5 stars,8,3,1 dependent,"$20,800","$1,600",Yes
Harbor Desk,Preparer,Pension,2023 TY,"$34,290",Standard,$0,"$6,050",Married Joint,2-page,4.75%,Simple,On time,Yes,No,2219.87,5 stars,1,4,0 dependents,"$27,700",$0,Yes
North Desk,Preparer,Wages,2023 TY,"$11,040",Standard,$360,$600,Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,0.0,5 stars,8,1,1 dependent,"$27,700","$1,600",Yes
Highland Desk,Preparer,Investment,2023 TY,"$22,100",Standard,"$11,050","$77,350",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,8029.83,5 stars,1,12,1 dependent,"$27,700","$1,600",Yes
Delta Desk,Walk-in,Wages,2021 TY,"$46,000",Standard,"$1,500","$2,500",Married Separate,2-page,4.75%,Simple,On time,No,No,6055.14,4 stars,10,5,0 dependents,"$13,850",$400,Yes
River Desk,Online,Investment,2022 TY,"$4,120",Standard,"$2,060","$14,430",Single,2-page,5.50%,Simple,No filing yet,Yes,No,1200.56,4 stars,12,2,3 dependents,"$13,850",$0,Yes
Highland Desk,Online,Wages,2021 TY,"$81,010",Standard,"$2,640","$4,400",Married Joint,8-page,5.50%,Schedule-heavy,No filing yet,Yes,No,12165.89,4 stars,2,14,0 dependents,"$27,700",$0,Yes
North Desk,Preparer,Wages,2020 TY,"$28,170",Standard,$920,"$1,530",Married Joint,8-page,7.00%,Schedule-heavy,No filing yet,Yes,No,549.83,4 stars,2,8,0 dependents,"$27,700",$0,Yes
Harbor Desk,Online,Mixed,2021 TY,"$56,050",Standard,"$25,480","$20,380",Head of Household,16-page,0.00%,Audit-ready,On time,No,No,10139.62,3 stars,2,16,3 dependents,"$20,800",$0,No
Harbor Desk,Online,Wages,2022 TY,"$41,560",Standard,"$1,360","$2,260",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,No,2955.92,4 stars,12,5,2 dependents,"$27,700",$0,Yes
Capitol Desk,Online,Wages,2021 TY,"$92,400",Itemized,"$3,010","$5,020",Married Joint,2-page,0.00%,Simple,No filing yet,Yes,No,8219.34,4 stars,8,11,0 dependents,"$38,580",$0,No
Prairie Desk,Online,Self-employed,2022 TY,"$14,700",Itemized,"$78,390","$4,900",Qualifying Widow,8-page,6.20%,Schedule-heavy,2-year amend,No,No,1959.98,3 stars,4,15,2 dependents,"$57,050","$3,200",Yes
Prairie Desk,Online,Pension,2021 TY,"$27,090",Standard,$0,"$4,780",Married Joint,2-page,5.50%,Simple,No filing yet,Yes,No,0.0,4 stars,7,3,1 dependent,"$27,700","$1,600",Yes
Delta Desk,Online,Wages,2021 TY,"$36,790",Standard,"$1,200","$2,000",Single,16-page,4.75%,Audit-ready,No filing yet,Yes,No,2957.35,3 stars,0,9,0 dependents,"$13,850",$400,Yes
Delta Desk,Preparer,Pension,2023 TY,"$49,040",Standard,$0,"$8,650",Single,8-page,6.20%,Schedule-heavy,No filing yet,Yes,No,3482.06,4 stars,4,11,2 dependents,"$13,850","$3,400",Yes
Delta Desk,Preparer,Investment,2023 TY,"$16,870",Standard,"$8,440","$59,050",Single,2-page,4.75%,Simple,On time,Yes,No,3258.75,5 stars,10,9,2 dependents,"$13,850","$3,200",Yes
North Desk,Walk-in,Pension,2021 TY,"$38,500",Standard,$0,"$6,790",Single,2-page,3.00%,Simple,On time,No,No,4609.69,4 stars,7,5,0 dependents,"$13,850",$0,Yes
North Desk,Online,Self-employed,2022 TY,"$17,520",Standard,"$93,440","$5,840",Married Joint,2-page,4.75%,Simple,On time,Yes,Yes,18645.04,5 stars,4,12,1 dependent,"$27,700",$0,Yes
Central Desk,Online,Self-employed,2021 TY,"$6,610",Standard,"$35,240","$2,200",Married Separate,2-page,0.00%,Simple,On time,Yes,No,3892.81,5 stars,0,4,0 dependents,"$13,850",$0,No
Highland Desk,Preparer,Mixed,2019 TY,"$44,410",Standard,"$20,180","$16,150",Married Separate,2-page,6.20%,Simple,On time,Yes,No,13084.79,5 stars,4,8,0 dependents,"$13,850",$0,Yes
