aircraft_type,manufacturer,manufacture_year,total_flight_hours,total_cycles,engine_type,engine_hours_since_overhaul,engine_cycles_since_overhaul,airframe_check_status,maintenance_program,lease_status,operator_region,winglets_installed,avionics_upgrade,damage_history,paint_condition,seat_count,airworthiness_directives_open,last_major_check_months_ago,market_demand_index,fuel_burn_kg_per_hr,broker_asking_price_usd,recent_comparable_sale_price_usd,appraised_fair_market_value_usd
E175,Embraer,2002,"61,533 hrs","34,306 cycles",CF34-8E,"1,631 hrs",787 cycles,Fresh D-Check,MSG-3,Off Lease,North America,No,Yes,None,Fair,76 seats,1 ADs,57,81.4,"2,305 kg/hr",8531000.0,7660000.0,7745000.0
737-800,Boeing,2007,"41,291 hrs","28,997 cycles",CFM56-7B,933 hrs,396 cycles,C-Check Due,MSG-3,Off Lease,Africa,Yes,No,None,Good,189 seats,0 ADs,10,76.1,"1,399 kg/hr",17353000.0,15664000.0,16040000.0
737-800,boeing,2001,"60,132 hrs","30,327 cycles",CFM56-7B,"8,071 hrs","4,329 cycles",C-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,189 seats,0 ADs,30,56.1,"1,462 kg/hr",6686000.0,8773000.0,9043000.0
787-9,boeing,2022,"9,778 hrs","4,244 cycles",Trent 1000,"7,708 hrs","4,244 cycles",Fresh C-Check,OEM Managed,Off Lease,Europe,Yes,No,None,Good,296 seats,0 ADs,21,53.2,"2,371 kg/hr",138675000.0,122872000.0,121297000.0
A320neo,airbus,2017,"15,709 hrs","9,972 cycles",PW1100G,"4,226 hrs","2,693 cycles",Fresh C-Check,MSG-3,On Lease,Latin America,No,No,None,Good,180 seats,Not Reported,6,84.6,"2,762 kg/hr",41436000.0,42824000.0,43552000.0
A320neo,airbus,2022,"6,825 hrs","4,015 cycles",LEAP-1A,"6,825 hrs","2,876 cycles",Fresh D-Check,Hourly Inspection,Owned,North America,No,No,None,Excellent,180 seats,2 ADs,6,50.7,"2,860 kg/hr",53548000.0,54943000.0,54514000.0
ATR 72-600,atr,2003,"73,187 hrs","32,064 cycles",PW127M,"4,259 hrs","3,131 cycles",C-Check Due,OEM Managed,Off Lease,Africa,Yes,No,None,Excellent,70 seats,0 ADs,47,42.9,"4,046 kg/hr",5052000.0,5068000.0,4587000.0
E175,embraer,2013,"22,181 hrs","18,226 cycles",CF34-8E,784 hrs,569 cycles,D-Check Due,MSG-3,Owned,Africa,Yes,Yes,None,Excellent,76 seats,Not Reported,39,31.8,"3,090 kg/hr",14863000.0,13874000.0,13322000.0
737 MAX 8,Boeing,2009,"43,970 hrs","21,365 cycles",LEAP-1B,"8,044 hrs","4,953 cycles",C-Check Due,OEM Managed,On Lease,Latin America,Yes,No,None,Good,178 seats,4 ADs,10,81.8,"2,564 kg/hr",17784000.0,18870000.0,16142000.0
737 MAX 8,BOEING,2009,"39,424 hrs","16,088 cycles",LEAP-1B,"5,239 hrs","2,420 cycles",D-Check Due,MSG-3,Owned,North America,Yes,No,None,Good,178 seats,0 ADs,26,60.3,"1,929 kg/hr",20093000.0,17514000.0,18313000.0
ATR 72-600,ATR,2003,"80,600 hrs","44,426 cycles",PW127M,"5,130 hrs","2,449 cycles",C-Check Due,MSG-3,On Lease,North America,Yes,Yes,None,Fair,70 seats,3 ADs,24,63.1,"3,334 kg/hr",5105000.0,5188000.0,4942000.0
737-800,boeing,2018,"19,161 hrs","10,174 cycles",CFM56-7B,215 hrs,154 cycles,Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,Yes,None,Good,189 seats,0 ADs,2,62.2,"4,585 kg/hr",34421000.0,35077000.0,34293000.0
737 MAX 8,Boeing,2014,"29,203 hrs","13,307 cycles",LEAP-1B,268 hrs,169 cycles,Fresh D-Check,Hourly Inspection,On Lease,North America,Yes,Yes,Minor,Good,178 seats,3 ADs,40,49.0,"2,673 kg/hr",30601000.0,29503000.0,28912000.0
777-300ER,BOEING,2019,"16,757 hrs","12,359 cycles",GE90-115B,"4,655 hrs","2,919 cycles",D-Check Due,MSG-3,Owned,North America,Yes,No,Minor,Good,396 seats,1 ADs,36,39.2,"4,394 kg/hr",79621000.0,72540000.0,60688000.0
747-8F,Boeing,2011,"43,078 hrs","17,777 cycles",GEnx-2B,"1,135 hrs",861 cycles,C-Check Due,OEM Managed,On Lease,North America,Yes,No,None,Excellent,Freighter (0 seats),2 ADs,49,86.4,"1,898 kg/hr",87999000.0,68629000.0,66619000.0
A320neo,airbus,2004,"54,472 hrs","37,855 cycles",PW1100G,"1,449 hrs",704 cycles,C-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,180 seats,0 ADs,7,69.0,"1,566 kg/hr",14508000.0,16502000.0,16747000.0
747-8F,BOEING,2013,"39,496 hrs","14,942 cycles",GEnx-2B,"4,402 hrs","2,577 cycles",Fresh C-Check,OEM Managed,On Lease,North America,Yes,Yes,None,Good,Freighter (0 seats),1 ADs,9,55.9,"1,476 kg/hr",68133000.0,79103000.0,80141000.0
A330-300,airbus,2014,"34,072 hrs","20,271 cycles",PW4000,"2,599 hrs","1,197 cycles",D-Check Due,MSG-3,Owned,Africa,No,Yes,None,Fair,277 seats,1 ADs,34,42.4,"2,744 kg/hr",43801000.0,38525000.0,42418000.0
A320-200,Airbus,2014,"30,407 hrs","18,030 cycles",CFM56-5B,"4,510 hrs","2,191 cycles",C-Check Due,Hourly Inspection,Off Lease,Latin America,Yes,No,None,Good,180 seats,Not Reported,0,46.7,"1,289 kg/hr",29816000.0,22685000.0,23932000.0
787-9,Boeing,2000,"88,996 hrs","45,133 cycles",GEnx-1B,"3,196 hrs","2,321 cycles",Fresh D-Check,Hourly Inspection,On Lease,North America,Yes,No,Minor,Fair,296 seats,1 ADs,55,54.0,"2,514 kg/hr",30925000.0,27520000.0,29289000.0
737 MAX 8,boeing,2016,"26,702 hrs","14,187 cycles",LEAP-1B,103 hrs,46 cycles,C-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,No,Minor,Excellent,178 seats,1 ADs,19,69.2,"1,280 kg/hr",32685000.0,31727000.0,32754000.0
787-9,boeing,1998,"72,630 hrs","52,543 cycles",GEnx-1B,"2,990 hrs","1,323 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,Yes,None,Excellent,296 seats,2 ADs,47,53.3,"4,488 kg/hr",26173000.0,24885000.0,24787000.0
737 MAX 8,boeing,2017,"30,824 hrs","16,202 cycles",LEAP-1B,"3,892 hrs","2,542 cycles",Fresh C-Check,MSG-3,On Lease,North America,Yes,No,None,Fair,178 seats,0 ADs,9,63.5,"4,088 kg/hr",35610000.0,34633000.0,33461000.0
787-9,BOEING,2019,"13,663 hrs","6,065 cycles",Trent 1000,"1,928 hrs","1,018 cycles",Fresh D-Check,OEM Managed,On Lease,North America,No,No,None,Fair,296 seats,0 ADs,49,67.5,"1,874 kg/hr",131757000.0,122152000.0,116100000.0
E175,Embraer,1998,"86,430 hrs","47,230 cycles",CF34-8E,"8,997 hrs","4,723 cycles",Fresh D-Check,Hourly Inspection,Off Lease,Africa,Yes,Yes,None,Good,76 seats,1 ADs,24,44.2,"1,738 kg/hr",5822000.0,5448000.0,5755000.0
747-8F,BOEING,2014,"29,501 hrs","18,120 cycles",GEnx-2B,"5,253 hrs","2,644 cycles",Fresh C-Check,MSG-3,Owned,Middle East,No,Yes,None,Good,Freighter (0 seats),1 ADs,36,64.8,"3,481 kg/hr",89039000.0,87482000.0,94241000.0
A350-900,airbus,1998,"52,329 hrs","27,417 cycles",Trent XWB,"4,495 hrs","2,747 cycles",D-Check Due,Hourly Inspection,Off Lease,Middle East,Yes,No,None,Good,325 seats,0 ADs,26,91.0,"1,968 kg/hr",23761000.0,27550000.0,27931000.0
737-800,boeing,1999,"72,047 hrs","50,283 cycles",CFM56-7B,"8,065 hrs","3,710 cycles",D-Check Due,Hourly Inspection,Off Lease,Middle East,No,Yes,Minor,Good,189 seats,1 ADs,47,55.6,"2,265 kg/hr",6833000.0,6464000.0,7111000.0
A320neo,AIRBUS,2002,"52,647 hrs","36,501 cycles",LEAP-1A,"6,847 hrs","4,068 cycles",D-Check Due,OEM Managed,Owned,Latin America,No,No,None,Fair,180 seats,0 ADs,30,73.1,"3,156 kg/hr",11228000.0,11125000.0,11384000.0
A350-900,Airbus,2022,"9,801 hrs","8,400 cycles",Trent XWB,"1,410 hrs",683 cycles,Fresh C-Check,MSG-3,Owned,Europe,No,No,Minor,Fair,325 seats,3 ADs,0,18.6,"2,032 kg/hr",92055000.0,103535000.0,105743000.0
A320neo,Airbus,2019,"14,182 hrs","5,347 cycles",LEAP-1A,"4,393 hrs","3,117 cycles",C-Check Due,MSG-3,On Lease,Africa,Yes,No,Minor,Good,180 seats,3 ADs,48,68.9,"3,220 kg/hr",39304000.0,38557000.0,36310000.0
747-8F,BOEING,2011,"39,871 hrs","23,735 cycles",GEnx-2B,"2,475 hrs","1,182 cycles",Fresh C-Check,OEM Managed,On Lease,North America,Yes,No,None,Fair,Freighter (0 seats),0 ADs,20,50.1,"1,351 kg/hr",83857000.0,65023000.0,65750000.0
ATR 72-600,atr,2008,"32,345 hrs","20,465 cycles",PW127M,"5,977 hrs","3,644 cycles",Fresh C-Check,OEM Managed,On Lease,Europe,Yes,No,None,Good,70 seats,0 ADs,41,61.3,"2,450 kg/hr",9250000.0,10013000.0,9770000.0
787-9,boeing,2002,"82,053 hrs","48,992 cycles",GEnx-1B,"2,994 hrs","1,280 cycles",C-Check Due,OEM Managed,Owned,Africa,Yes,Yes,None,Fair,296 seats,2 ADs,22,71.3,"2,714 kg/hr",34379000.0,28576000.0,30221000.0
A330-300,Airbus,2011,"42,576 hrs","32,958 cycles",Trent 700,"1,695 hrs",928 cycles,C-Check Due,OEM Managed,On Lease,Asia-Pacific,No,Yes,None,Excellent,277 seats,2 ADs,0,69.0,"2,764 kg/hr",51698000.0,45352000.0,45853000.0
A330-300,Airbus,2000,"76,829 hrs","46,097 cycles",CF6-80E1,953 hrs,601 cycles,D-Check Due,MSG-3,On Lease,North America,Yes,No,None,Good,277 seats,3 ADs,11,57.6,"2,806 kg/hr",18431000.0,16420000.0,16409000.0
A320neo,airbus,2002,"71,965 hrs","36,297 cycles",PW1100G,"4,396 hrs","2,554 cycles",Fresh C-Check,MSG-3,Owned,Asia-Pacific,No,Yes,Minor,Good,180 seats,2 ADs,16,69.9,"2,180 kg/hr",11256000.0,12746000.0,11819000.0
737-800,BOEING,1998,"81,846 hrs","33,990 cycles",CFM56-7B,"3,072 hrs","1,536 cycles",C-Check Due,Hourly Inspection,On Lease,Asia-Pacific,Yes,Yes,None,Poor,189 seats,1 ADs,10,69.4,"1,972 kg/hr",7831000.0,8336000.0,8511000.0
E175,Embraer,2015,"30,103 hrs","15,568 cycles",CF34-8E,"7,495 hrs","3,907 cycles",Fresh D-Check,MSG-3,Owned,Middle East,Yes,Yes,None,Poor,76 seats,0 ADs,50,62.5,"1,548 kg/hr",16790000.0,18419000.0,17781000.0
A350-900,AIRBUS,2002,"79,302 hrs","51,658 cycles",Trent XWB,"7,085 hrs","4,191 cycles",Fresh C-Check,OEM Managed,On Lease,North America,No,No,Minor,Good,325 seats,2 ADs,2,32.1,"2,496 kg/hr",33193000.0,26532000.0,27353000.0
CRJ900,Bombardier,2000,"78,433 hrs","58,526 cycles",CF34-8C5,923 hrs,597 cycles,C-Check Due,MSG-3,Off Lease,Africa,No,No,Minor,Fair,76 seats,Not Reported,55,90.0,"2,976 kg/hr",5404000.0,4927000.0,5026000.0
A320-200,airbus,2015,"34,119 hrs","22,240 cycles",V2500,667 hrs,280 cycles,Fresh C-Check,OEM Managed,Owned,Middle East,Yes,No,None,Poor,180 seats,2 ADs,32,62.4,"1,956 kg/hr",26948000.0,26514000.0,25067000.0
747-8F,boeing,2000,"74,810 hrs","57,693 cycles",GEnx-2B,"3,095 hrs","2,320 cycles",C-Check Due,OEM Managed,On Lease,Africa,Yes,No,None,Poor,Freighter (0 seats),1 ADs,27,14.1,"2,285 kg/hr",25932000.0,26443000.0,24931000.0
747-8F,boeing,2008,"48,510 hrs","35,249 cycles",GEnx-2B,"2,005 hrs","1,223 cycles",Fresh C-Check,Hourly Inspection,On Lease,Latin America,Yes,No,None,Excellent,Freighter (0 seats),Not Reported,54,17.5,"2,505 kg/hr",46789000.0,50151000.0,46690000.0
A320neo,AIRBUS,2017,"24,770 hrs","15,127 cycles",LEAP-1A,"2,651 hrs","1,929 cycles",C-Check Due,MSG-3,Owned,Latin America,No,No,Major,Fair,180 seats,1 ADs,48,60.0,"2,745 kg/hr",25899000.0,25694000.0,26205000.0
747-8F,boeing,2003,"55,480 hrs","35,367 cycles",GEnx-2B,"3,369 hrs","1,818 cycles",D-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,No,None,Good,Freighter (0 seats),0 ADs,58,39.9,900 kg/hr,32831000.0,33443000.0,31024000.0
A330-300,airbus,2021,"9,541 hrs","6,129 cycles",Trent 700,"8,357 hrs","5,237 cycles",C-Check Due,OEM Managed,Off Lease,Africa,Yes,No,None,Excellent,277 seats,0 ADs,1,65.8,"1,184 kg/hr",86685000.0,83611000.0,74877000.0
A320neo,Airbus,2006,"56,885 hrs","38,982 cycles",PW1100G,994 hrs,450 cycles,Fresh D-Check,MSG-3,Owned,Africa,No,Yes,None,Excellent,180 seats,0 ADs,21,52.5,"3,416 kg/hr",16831000.0,18265000.0,20156000.0
A330-300,AIRBUS,2017,"23,033 hrs","11,135 cycles",PW4000,"1,036 hrs",434 cycles,Fresh C-Check,MSG-3,Owned,Latin America,No,No,None,Good,277 seats,0 ADs,29,52.6,"3,330 kg/hr",63943000.0,69584000.0,67688000.0
737 MAX 8,boeing,2006,"35,236 hrs","28,831 cycles",LEAP-1B,"1,265 hrs",681 cycles,Fresh C-Check,MSG-3,On Lease,Europe,No,No,None,Fair,178 seats,1 ADs,57,51.5,"3,038 kg/hr",18916000.0,17762000.0,18219000.0
737-800,boeing,2016,"27,251 hrs","15,226 cycles",CFM56-7B,"5,927 hrs","2,497 cycles",C-Check Due,Hourly Inspection,On Lease,Latin America,No,No,None,Excellent,189 seats,1 ADs,54,29.0,"1,082 kg/hr",28508000.0,25713000.0,24530000.0
A330-300,Airbus,2005,"57,425 hrs","40,788 cycles",Trent 700,"3,272 hrs","2,422 cycles",C-Check Due,OEM Managed,Owned,Asia-Pacific,No,No,Major,Excellent,277 seats,4 ADs,47,75.0,"3,002 kg/hr",22191000.0,20971000.0,21906000.0
A320neo,AIRBUS,2003,"56,826 hrs","26,657 cycles",LEAP-1A,"4,794 hrs","2,612 cycles",Fresh C-Check,MSG-3,On Lease,Middle East,No,No,Minor,Fair,180 seats,0 ADs,53,22.3,"2,492 kg/hr",10500000.0,11233000.0,11457000.0
ATR 72-600,atr,2009,"51,118 hrs","29,349 cycles",PW127M,"1,884 hrs","1,086 cycles",Fresh D-Check,OEM Managed,Owned,Asia-Pacific,No,Yes,None,Excellent,70 seats,0 ADs,46,45.2,"4,170 kg/hr",11510000.0,9846000.0,9313000.0
787-9,Boeing,2006,"65,128 hrs","43,852 cycles",Trent 1000,"3,751 hrs","1,610 cycles",C-Check Due,OEM Managed,Owned,Middle East,Yes,Yes,None,Fair,296 seats,1 ADs,29,60.7,"2,695 kg/hr",33560000.0,34671000.0,33084000.0
A320neo,Airbus,2005,"65,694 hrs","29,799 cycles",PW1100G,"1,344 hrs",957 cycles,Fresh C-Check,MSG-3,Off Lease,Middle East,Yes,No,None,Poor,180 seats,3 ADs,26,31.5,"1,870 kg/hr",11133000.0,11491000.0,11171000.0
A350-900,AIRBUS,2014,"32,458 hrs","21,268 cycles",Trent XWB,606 hrs,379 cycles,Fresh C-Check,Hourly Inspection,Off Lease,Asia-Pacific,Yes,No,None,Good,325 seats,0 ADs,29,78.1,"3,554 kg/hr",94695000.0,81160000.0,84481000.0
E175,embraer,2010,"38,149 hrs","26,231 cycles",CF34-8E,310 hrs,150 cycles,D-Check Due,MSG-3,On Lease,Africa,Yes,Yes,Minor,Fair,76 seats,0 ADs,23,32.3,"2,838 kg/hr",8510000.0,9475000.0,9231000.0
A320neo,airbus,2002,"53,277 hrs","28,245 cycles",PW1100G,"7,986 hrs","3,897 cycles",C-Check Due,Hourly Inspection,Owned,Middle East,No,No,Major,Good,180 seats,0 ADs,24,73.6,"2,153 kg/hr",11064000.0,10143000.0,10934000.0
787-9,boeing,2022,"9,735 hrs","4,351 cycles",Trent 1000,"5,391 hrs","2,741 cycles",C-Check Due,MSG-3,Off Lease,Europe,No,No,Minor,Fair,296 seats,0 ADs,16,50.7,"3,493 kg/hr",112522000.0,106541000.0,97233000.0
787-9,BOEING,2000,"65,435 hrs","39,510 cycles",Trent 1000,"4,048 hrs","2,423 cycles",Fresh C-Check,MSG-3,Owned,Africa,Yes,No,None,Poor,296 seats,2 ADs,40,58.0,"1,701 kg/hr",21798000.0,28544000.0,27300000.0
777-300ER,boeing,2014,"32,924 hrs","22,925 cycles",GE90-115B,"2,210 hrs","1,691 cycles",Fresh C-Check,Hourly Inspection,Owned,Europe,Yes,No,None,Poor,396 seats,2 ADs,17,70.4,"2,219 kg/hr",70416000.0,67548000.0,60876000.0
E175,Embraer,2012,"38,340 hrs","23,248 cycles",CF34-8E,"2,061 hrs","1,045 cycles",Fresh D-Check,OEM Managed,Owned,Europe,No,No,Minor,Excellent,76 seats,2 ADs,43,98.6,"1,623 kg/hr",17990000.0,16055000.0,14798000.0
A320-200,airbus,2017,"26,439 hrs","16,673 cycles",CFM56-5B,"2,711 hrs","1,363 cycles",D-Check Due,Hourly Inspection,Owned,North America,Yes,No,None,Excellent,180 seats,0 ADs,44,41.7,"2,531 kg/hr",29201000.0,24721000.0,25883000.0
A330-300,Airbus,2017,"21,622 hrs","14,170 cycles",Trent 700,"3,556 hrs","1,535 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Asia-Pacific,No,Yes,None,Good,277 seats,2 ADs,53,46.8,"4,678 kg/hr",65687000.0,64163000.0,65549000.0
A320neo,Airbus,1999,"76,180 hrs","37,276 cycles",PW1100G,66 hrs,49 cycles,D-Check Due,MSG-3,Off Lease,North America,Yes,Yes,None,Good,180 seats,Not Reported,26,58.4,"2,937 kg/hr",7755000.0,9458000.0,9645000.0
ATR 72-600,atr,2016,"26,418 hrs","21,025 cycles",PW127M,"7,244 hrs","4,090 cycles",C-Check Due,OEM Managed,On Lease,Africa,No,Yes,None,Excellent,70 seats,1 ADs,1,72.9,"1,256 kg/hr",15764000.0,14201000.0,15016000.0
E175,Embraer,2009,"39,774 hrs","23,129 cycles",CF34-8E,"6,252 hrs","2,808 cycles",Fresh C-Check,Hourly Inspection,On Lease,Middle East,Yes,No,None,Excellent,76 seats,2 ADs,20,45.8,"1,833 kg/hr",12465000.0,12179000.0,10911000.0
ATR 72-600,ATR,2022,"9,732 hrs","5,177 cycles",PW127M,"3,228 hrs","2,163 cycles",Fresh D-Check,MSG-3,Off Lease,Latin America,Yes,Yes,None,Fair,70 seats,1 ADs,20,42.8,"2,900 kg/hr",22808000.0,21567000.0,21248000.0
A330-300,airbus,2002,"76,775 hrs","44,554 cycles",Trent 700,"3,627 hrs","2,242 cycles",C-Check Due,Hourly Inspection,Off Lease,Africa,No,No,None,Good,277 seats,1 ADs,8,47.7,"2,425 kg/hr",21865000.0,19681000.0,19915000.0
737-800,boeing,2014,"26,180 hrs","16,902 cycles",CFM56-7B,"1,480 hrs",725 cycles,Fresh C-Check,MSG-3,Owned,Middle East,No,No,None,Poor,189 seats,Not Reported,25,63.5,"2,281 kg/hr",24121000.0,22856000.0,24558000.0
A350-900,airbus,2013,"29,502 hrs","16,415 cycles",Trent XWB,"5,930 hrs","4,396 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Middle East,Yes,Yes,None,Good,325 seats,1 ADs,59,63.9,"2,020 kg/hr",88812000.0,70427000.0,67727000.0
A330-300,AIRBUS,2012,"38,581 hrs","18,677 cycles",Trent 700,"5,456 hrs","2,920 cycles",C-Check Due,MSG-3,Owned,Middle East,Yes,No,Minor,Good,277 seats,1 ADs,8,49.5,"2,842 kg/hr",39923000.0,37470000.0,40094000.0
E175,embraer,2010,"35,482 hrs","27,409 cycles",CF34-8E,"1,576 hrs",744 cycles,D-Check Due,MSG-3,Owned,North America,No,Yes,None,Good,76 seats,5 ADs,47,44.9,"1,851 kg/hr",13031000.0,10433000.0,10958000.0
A320neo,Airbus,2001,"70,515 hrs","32,741 cycles",PW1100G,"2,058 hrs","1,420 cycles",D-Check Due,Hourly Inspection,On Lease,Europe,Yes,Yes,None,Good,180 seats,0 ADs,6,30.4,"2,703 kg/hr",10231000.0,9291000.0,10010000.0
ATR 72-600,atr,2020,"19,497 hrs","13,331 cycles",PW127M,"8,617 hrs","4,079 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Europe,Yes,No,Minor,Good,70 seats,3 ADs,15,56.4,"2,410 kg/hr",17181000.0,15504000.0,16859000.0
A330-300,Airbus,2007,"35,265 hrs","15,496 cycles",CF6-80E1,"8,467 hrs","4,608 cycles",C-Check Due,Hourly Inspection,Off Lease,Latin America,Yes,No,None,Good,277 seats,2 ADs,2,52.8,"2,916 kg/hr",37143000.0,32158000.0,30363000.0
777-300ER,Boeing,2000,"79,408 hrs","54,634 cycles",GE90-115B,"2,777 hrs","1,322 cycles",Fresh C-Check,Hourly Inspection,On Lease,Africa,No,Yes,Minor,Good,396 seats,1 ADs,24,67.5,"1,879 kg/hr",25951000.0,26697000.0,26428000.0
787-9,Boeing,2002,"62,563 hrs","32,535 cycles",GEnx-1B,"3,660 hrs","2,030 cycles",Fresh C-Check,MSG-3,Owned,Africa,No,No,None,Fair,296 seats,1 ADs,29,32.5,"2,173 kg/hr",36600000.0,28828000.0,28283000.0
737-800,BOEING,2000,"54,988 hrs","31,662 cycles",CFM56-7B,"1,800 hrs",965 cycles,C-Check Due,OEM Managed,On Lease,Latin America,Yes,No,None,Good,189 seats,0 ADs,55,55.6,"1,054 kg/hr",11024000.0,9588000.0,10767000.0
A320neo,AIRBUS,2018,"20,289 hrs","9,011 cycles",LEAP-1A,"3,321 hrs","2,318 cycles",C-Check Due,MSG-3,On Lease,Latin America,No,No,None,Good,180 seats,2 ADs,1,47.4,"2,957 kg/hr",37552000.0,34030000.0,35215000.0
747-8F,BOEING,2010,"34,139 hrs","15,776 cycles",GEnx-2B,"1,915 hrs",967 cycles,C-Check Due,MSG-3,Owned,Europe,Yes,No,Minor,Good,Freighter (0 seats),1 ADs,44,46.2,"2,907 kg/hr",57940000.0,60524000.0,63526000.0
E175,Embraer,2012,"36,731 hrs","23,402 cycles",CF34-8E,"4,467 hrs","2,967 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,Yes,No,None,Good,76 seats,Not Reported,40,46.0,"4,177 kg/hr",14765000.0,13533000.0,14257000.0
A330-300,AIRBUS,2018,"8,823 hrs","7,490 cycles",PW4000,567 hrs,271 cycles,C-Check Due,MSG-3,Off Lease,Asia-Pacific,No,No,None,Good,277 seats,1 ADs,42,62.6,"3,182 kg/hr",78099000.0,75742000.0,74520000.0
A350-900,AIRBUS,1999,"39,738 hrs","26,507 cycles",Trent XWB,"4,093 hrs","2,458 cycles",Fresh C-Check,MSG-3,On Lease,North America,No,No,None,Poor,325 seats,1 ADs,47,55.9,"2,516 kg/hr",33142000.0,32790000.0,36052000.0
A350-900,AIRBUS,1999,"69,311 hrs","32,710 cycles",Trent XWB,"4,244 hrs","2,714 cycles",Fresh D-Check,MSG-3,On Lease,North America,Yes,Yes,None,Good,325 seats,Not Reported,54,72.7,"3,404 kg/hr",35451000.0,30017000.0,33813000.0
777-300ER,boeing,2014,"30,693 hrs","18,667 cycles",GE90-115B,"2,219 hrs","1,154 cycles",Fresh C-Check,Hourly Inspection,Owned,Asia-Pacific,No,No,None,Good,396 seats,3 ADs,59,48.6,"4,304 kg/hr",63975000.0,63391000.0,64468000.0
747-8F,boeing,2009,"46,802 hrs","21,866 cycles",GEnx-2B,"2,936 hrs","1,586 cycles",C-Check Due,Hourly Inspection,Owned,North America,No,No,None,Good,Freighter (0 seats),2 ADs,41,23.6,"2,615 kg/hr",38325000.0,48303000.0,47185000.0
777-300ER,boeing,2001,"80,310 hrs","57,129 cycles",GE90-115B,"1,003 hrs",422 cycles,Fresh C-Check,MSG-3,On Lease,Latin America,No,Yes,None,Excellent,396 seats,1 ADs,56,41.2,"3,187 kg/hr",35269000.0,25581000.0,27695000.0
CRJ900,Bombardier,2013,"30,938 hrs","19,491 cycles",CF34-8C5,"7,628 hrs","3,372 cycles",Fresh C-Check,Hourly Inspection,Off Lease,Europe,No,No,None,Good,76 seats,1 ADs,43,44.8,"2,851 kg/hr",10882000.0,12049000.0,11898000.0
747-8F,boeing,2013,"46,186 hrs","26,319 cycles",GEnx-2B,"3,901 hrs","1,644 cycles",D-Check Due,MSG-3,Off Lease,Europe,No,Yes,None,Excellent,Freighter (0 seats),0 ADs,53,84.6,"3,409 kg/hr",70492000.0,64381000.0,67817000.0
737 MAX 8,boeing,2003,"47,790 hrs","34,282 cycles",LEAP-1B,"3,779 hrs","1,778 cycles",Fresh C-Check,OEM Managed,On Lease,Africa,Yes,No,None,Good,178 seats,2 ADs,34,55.8,"3,562 kg/hr",17906000.0,15273000.0,13970000.0
747-8F,Boeing,2018,"15,023 hrs","5,893 cycles",GEnx-2B,"2,984 hrs","1,914 cycles",Fresh C-Check,Hourly Inspection,Owned,Latin America,No,No,None,Fair,Freighter (0 seats),Not Reported,39,91.6,"3,988 kg/hr",168622000.0,131153000.0,123376000.0
A350-900,AIRBUS,2012,"26,771 hrs","15,498 cycles",Trent XWB,"1,186 hrs",676 cycles,Fresh C-Check,MSG-3,On Lease,Latin America,Yes,Yes,Minor,Good,325 seats,0 ADs,22,39.0,"2,379 kg/hr",71439000.0,71809000.0,70613000.0
A320neo,airbus,2000,"78,402 hrs","53,537 cycles",PW1100G,917 hrs,449 cycles,D-Check Due,OEM Managed,On Lease,Middle East,Yes,Yes,None,Good,180 seats,0 ADs,14,71.7,"2,694 kg/hr",12622000.0,10395000.0,9966000.0
A320-200,Airbus,2004,"57,149 hrs","28,581 cycles",CFM56-5B,"3,496 hrs","1,948 cycles",C-Check Due,MSG-3,Owned,Asia-Pacific,No,Yes,None,Good,180 seats,Not Reported,30,37.5,"3,723 kg/hr",12432000.0,10689000.0,11006000.0
A330-300,airbus,2002,"79,612 hrs","40,852 cycles",PW4000,"2,381 hrs","1,524 cycles",Fresh C-Check,MSG-3,Off Lease,North America,No,Yes,None,Poor,277 seats,1 ADs,36,46.6,"2,285 kg/hr",22654000.0,20810000.0,18009000.0
CRJ900,bombardier,2003,"76,739 hrs","50,601 cycles",CF34-8C5,"5,025 hrs","3,669 cycles",Fresh D-Check,MSG-3,Off Lease,Asia-Pacific,Yes,No,None,Good,76 seats,0 ADs,50,54.9,"1,645 kg/hr",6514000.0,6739000.0,6381000.0
787-9,boeing,2009,"54,113 hrs","38,445 cycles",Trent 1000,"1,276 hrs",606 cycles,D-Check Due,MSG-3,On Lease,Asia-Pacific,Yes,Yes,None,Fair,296 seats,1 ADs,53,51.5,"2,783 kg/hr",47698000.0,38190000.0,38046000.0
777-300ER,boeing,2020,"13,209 hrs","5,687 cycles",GE90-115B,"7,925 hrs","3,650 cycles",C-Check Due,Hourly Inspection,Off Lease,Europe,Yes,No,None,Excellent,396 seats,1 ADs,35,74.7,"3,338 kg/hr",115865000.0,95496000.0,105058000.0
E175,embraer,2008,"50,917 hrs","20,563 cycles",CF34-8E,"5,985 hrs","4,122 cycles",Fresh C-Check,MSG-3,Off Lease,Latin America,Yes,No,None,Good,76 seats,1 ADs,35,69.8,"3,380 kg/hr",11058000.0,10678000.0,10326000.0
